obs,rets,rv,bv
"2003-06-11",1.26548200199039,0.604509615949138,0.567764623883849
"2003-06-12",0.150306653813903,0.998653090573908,0.760815744276247
"2003-06-13",-1.0376972101426,0.744371394232237,0.603385415749359
"2003-06-16",2.17468403093468,0.944614353700685,0.672109697758057
"2003-06-17",0.114770817280174,0.553320201273262,0.562657235665318
"2003-06-18",-0.150416146634313,0.739602716501177,0.571655626165852
"2003-06-19",-1.52377628362332,0.991037845445141,0.680993735284272
"2003-06-20",0.131637804077656,0.67197260023366,0.401559577125504
"2003-06-23",-1.44846511572005,0.698766646779845,0.509519713827456
"2003-06-24",0.2310139686589,0.472914178058397,0.608612759902916
"2003-06-25",-0.799110233467104,0.924171351679122,1.12797927376249
"2003-06-26",1.00220547367398,0.469247255382608,0.672423233691807
"2003-06-27",-0.965324384034449,0.748158662451608,0.580159793994556
